ICAV Name,Reg Date,Reg Number,In Liquidation,ETF Related
GMO Investments ICAV,2016-06-28,C155870,,
Capital Four Funds ICAV,2016-06-29,C156026,,
Contrarius ICAV,2016-06-30,C153280,,
AlbaCore Partners I ICAV,2016-07-08,C156258,,
Redhedge ICAV,2016-07-18,,,
Equity Income Fund (Ireland) ICAV (in liquidation),2016-07-18,C154995,Yes,
TCP DLF VIII ICAV,2016-07-25,C156043,,
1167 Active Funds ICAV (in liquidation),2016-07-25,C156721,Yes,
Intermede UCITS ICAV,2016-07-29,C156267,,
Citadel Multi-Asset Fund (Ireland) ICAV,2016-08-05,C157191,,
Citadel Multi-Strategy Equities Fund (Ireland) ICAV,2016-08-05,,,
AlbaCore Partners I Feeder ICAV,2016-08-10,C158455,,
Tranquilidade Diversified Income ICAV,2016-08-10,C158463,,
Amissima Diversified Income ICAV,2016-08-10,C158464,,
International Investment ICAV,2016-08-17,C158656,,
Andurand UCITS ICAV (in liquidation),2016-08-17,C156056,Yes,
Fidelity UCITS ICAV,2016-08-19,C158668,,
Glencar ICAV,2016-08-22,C158683,,
Lansdowne ICAV,2016-08-24,C158719,,
KBI Funds ICAV,2016-08-24,C35553,,
Global Alternatives Platform ICAV,2016-08-24,C158842,,
Consdorf Investments ICAV,2016-08-25,C156201,,
Novelty ICAV (in liquidation),2016-08-30,C159893,Yes,
VanEck ICAV,2016-09-06,C158225,,
36 South Funds ICAV,2016-09-07,C160182,,
AXA IM Alternatives ICAV,2016-09-13,,,
EnTrust Global ICAV,2016-09-16,C160258,,
Dynamic Credit Funds ICAV,2016-09-19,C160367,,
Muzinich Alternative Investment Funds ICAV,2016-09-19,C160366,,
Volt ICAV,2016-09-19,C160365,,
EFIV Irish Property ICAV,2016-09-20,C160054,,
Gresham House Investments ICAV,2016-09-21,C160423,,
Credo ICAV,2016-09-23,C160486,,
Multi-Manager (Ireland) ICAV,2016-10-03,,,
BlackRock Alternatives Funds ICAV,2016-10-06,C161753,,
CFM UCITS ICAV,2016-10-06,C161756,,
GoldenTree Emerging Markets ICAV,2016-10-17,C162146,,
GoldenTree Emerging Markets Master Fund ICAV,2016-10-17,C162154,,
Suir Valley Funds ICAV,2016-10-18,C162245,,
FS Funds ICAV (in liquidation),2016-10-18,C162244,Yes,
Summer Capital ICAV,2016-10-21,C162274,,
GQG Global UCITS ICAV,2016-10-27,C163399,,
Global Aviation Investment Fund ICAV,2016-10-27,C160409,,
Asset Management Exchange Feeder ICAV,2016-11-08,C163447,,
Asset Management Exchange Master ICAV,2016-11-08,C163446,,
Leadenhall Nat Cat Focus Insurance Linked Investments Fund,2016-11-08,C163881,,
Leadenhall Cimetta Insurance Linked Investments ICAV,2016-11-08,C163428,,
Cygnus Alternative Feeder Funds ICAV,2016-11-10,C163883,,
Cygnus Alternative Master Funds ICAV,2016-11-10,C163882,,
Polus Investment Funds ICAV,2016-11-24,,,
Prima Multi-Manager Platform 1 ICAV,2016-11-24,C164210,,
Camissa Global Asset Management ICAV,2016-12-01,C164416,,
Ci Global Investments RIAIF ICAV,2016-12-08,C164569,,
RS Private Debt ICAV (prev UBP Private Debt ICAV,2016-12-15,C163877,,
M&G (South Africa) Global Funds ICAV,2016-12-15,C164553,,
Royal London Asset Management Investment Funds ICAV,2016-12-20,C164829,,
The W&W Global Income Fund ICAV,2017-01-09,C164781,,
